V1,V2,V2A,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V74B,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125_00,V125_01,V125_02,V125_03,V125_04,V125_05,V125_06,V125_07,V125_08,V125_09,V125_10,V125_11,V125_12,V125_13,V125_14,V125_15,V125_16,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V203A,V204,V205,V206,V207,V207A,V208,V209,V210,V211,V212,V213,V214,V251,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249,V250,V252,V253,V254,V255,V256,V257,V258,V260,V261,V262,V263,V264,V265,Y001,Y002,Y003,V44_ES,V248_CS,V253_CS,V256B,V256C,SACSECVAL,SECVALWGT
6,840,840,48,1,2,1,2,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,7,2,1,0,0,0,1,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,3,2,1,2,3,4,4,3,4,1,8,5,6,5,4,1,2,3,2,1,4,1,3,2,1,5,5,3,5,4,-99,5,6,5,6,3,1,2,2,2,2,1,3,3,3,3,2,-99,-99,-99,-99,6,5,5,6,5,5,1,2,2,2,3,2,2,4,2,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,4,4,4,4,1,7,1,10,5,2,10,5,3,10,10,5,3,2,62,6,3,1,1,1,2,2,10,3,4,3,1,1,5,5,5,3,2,4,6,2,4,4,4,3,3,3,4,4,4,4,1,5,5,5,5,2,4,3,3,3,2,1,4,3,4,4,1,1,5,10,1,5,1,1,1,1,1,5,-99,8,10,5,1,-99,1,3,1,1,1,2,1,-99,3,5,4,1,4,1,1,1,3,3,2,1,840002,2,-99,5,5,5,2,1,-99,2,4,5,2,1942,69,2,2,1,1,128,8,35,2,-99,-99,840003,-99,840013,128,0.64,1,20110610,2011,8406,8402011,-99,1,2,0,-99,840110,-99,840091,-99,0.3070238095,1
6,840,840,49,1,1,2,3,3,4,1,4,1,1,1,2,1,2,2,2,1,2,2,8,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,1,2,2,3,3,3,1,2,3,3,3,3,2,10,8,1,1,7,1,3,3,2,1,2,2,3,2,2,4,4,3,4,3,-99,4,4,3,3,4,4,2,2,2,2,3,2,3,3,3,-99,-99,-99,-99,-99,4,8,5,7,3,3,5,1,2,1,2,2,2,4,2,3,3,3,2,2,2,3,4,2,2,2,2,3,2,2,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,3,2,3,4,1,5,2,7,4,3,8,3,3,10,10,9,1,3,0,7,8,2,2,2,2,2,1,4,4,4,1,5,8,8,5,3,4,4,10,3,-99,4,4,3,1,3,4,4,4,4,5,1,5,5,5,3,3,3,2,4,3,1,4,4,4,4,10,10,1,1,1,10,1,1,1,1,3,10,-99,8,10,8,7,-99,1,1,1,5,2,2,2,-99,2,1,2,2,4,4,1,1,2,3,3,3,2,5,-99,10,1,7,2,2,1,1,3,4,2,1971,40,2,2,2,2,128,9,34,2,-99,-99,840004,-99,840013,128,1.84,1,20110610,2011,8406,8402011,-99,3,2,1,-99,840111,-99,840093,-99,0.4260427381,0.915
6,840,840,50,1,3,1,3,2,3,2,1,1,1,1,2,2,1,1,2,2,2,2,8,2,1,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,1,2,2,3,2,2,2,2,3,2,3,2,2,9,7,1,5,9,1,3,3,2,1,4,1,3,1,2,2,3,2,2,4,-99,1,2,2,4,3,4,1,2,2,3,2,2,2,3,2,-99,-99,-99,-99,-99,7,7,4,8,3,3,7,2,1,2,3,3,3,3,1,3,3,3,2,2,3,3,3,2,1,3,3,3,3,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,3,3,2,3,1,3,1,10,3,3,10,3,5,10,10,7,2,3,53,7,8,2,1,1,2,1,6,3,1,3,3,7,9,5,4,3,2,3,4,3,3,3,3,3,1,4,4,4,4,4,1,5,5,5,5,3,3,3,3,4,4,1,4,4,4,4,7,8,5,5,1,9,1,1,1,1,1,5,-99,3,7,5,7,-99,1,1,4,2,2,2,1,-99,1,2,3,1,1,2,1,1,1,3,3,2,-99,1,2,6,3,9,1,1,-99,1,2,7,1,1973,38,2,2,1,1,128,9,24,2,-99,-99,840002,-99,840005,128,2.34,1,20110610,2011,8406,8402011,-99,2,2,2,-99,840114,-99,840071,-99,0.3339285714,1
6,840,840,51,1,2,2,2,2,1,2,2,1,1,1,2,1,2,2,1,2,2,2,8,1,2,0,0,0,1,0,0,0,0,0,0,1,2,2,2,1,2,1,1,2,2,1,2,3,3,3,2,3,3,1,7,5,1,3,8,2,1,3,2,1,4,1,3,2,1,3,5,3,5,3,-99,5,5,2,5,3,1,2,2,2,2,1,2,2,3,3,1,-99,-99,-99,-99,-99,1,1,9,2,2,8,2,3,2,3,2,2,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,3,3,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,3,3,2,3,1,5,3,10,7,7,5,3,8,10,10,7,2,2,53,1,1,1,1,1,-99,1,10,1,2,3,2,5,8,8,5,3,3,3,7,3,3,4,4,4,3,3,3,4,4,2,5,5,5,5,5,4,4,3,2,3,3,1,4,4,4,4,6,6,7,7,7,7,1,1,1,1,1,1,-99,1,5,1,1,-99,1,1,1,1,2,2,2,-99,2,1,-99,1,2,1,1,1,2,3,-99,-99,-99,4,2,-99,-99,-99,1,2,2,3,2,6,2,1950,61,2,2,1,1,128,7,18,2,-99,-99,840002,-99,840003,128,0.5,1,20110610,2011,8406,8402011,-99,1,2,0,-99,840109,-99,840055,-99,0.2208333333,1
6,840,840,52,1,1,1,2,-99,1,1,1,1,1,1,2,1,2,2,2,2,2,1,10,1,2,0,2,1,1,0,1,1,0,0,0,1,2,2,2,2,2,2,2,2,3,1,2,1,2,3,3,4,4,2,10,10,1,1,10,1,2,3,2,1,4,2,1,2,2,4,1,1,1,1,-99,2,2,1,3,1,4,2,1,2,2,1,3,3,3,3,1,-99,-99,-99,-99,7,5,5,7,5,2,8,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,2,1,3,3,1,2,1,10,7,2,4,1,6,10,10,10,2,2,64,2,1,1,1,1,2,2,10,3,3,2,1,3,9,7,4,2,2,2,5,2,3,3,3,3,1,4,4,4,4,4,5,5,5,5,5,4,4,2,3,4,4,1,4,4,4,4,9,9,9,2,2,10,1,1,1,1,1,9,-99,5,5,5,1,-99,1,1,1,1,2,2,1,-99,3,1,2,1,1,1,1,1,1,3,2,1,840001,4,-99,-99,8,8,2,2,2,1,1,10,2,1949,62,2,2,1,1,128,9,22,2,-99,-99,840002,-99,840002,128,0.29,1,20110610,2011,8406,8402011,-99,1,2,1,-99,840113,-99,840023,-99,0.2194047619,1
6,840,840,53,1,1,2,1,1,2,2,2,2,1,1,2,1,1,1,2,2,2,2,6,1,1,1,0,0,2,2,2,2,0,0,0,1,2,2,2,2,2,1,2,2,3,3,1,1,2,2,3,3,3,3,5,5,3,2,2,1,2,4,2,3,1,2,1,2,2,2,5,4,6,1,-99,3,5,4,1,4,1,1,1,2,1,1,1,1,2,1,3,3,2,-99,2,4,3,2,4,4,2,2,1,2,1,2,2,2,3,3,3,3,3,3,3,4,4,4,3,2,4,4,2,3,2,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,4,4,4,4,2,8,1,10,10,1,10,5,1,10,10,3,3,1,64,4,3,1,1,1,2,2,9,3,3,4,2,2,9,2,8,3,3,3,10,2,2,3,3,2,2,4,4,4,4,4,5,5,5,5,5,1,1,3,3,3,3,1,2,4,1,1,8,7,5,5,3,9,1,1,1,1,1,10,-99,5,5,10,5,-99,1,5,2,2,1,1,1,-99,1,1,4,1,1,5,3,3,2,3,1,1,840002,3,2,7,7,8,1,1,-99,4,4,3,1,1962,49,2,2,1,1,128,9,24,2,-99,-99,840002,-99,840001,128,1.34,1,20110610,2011,8406,8402011,-99,3,3,1,-99,840112,-99,840014,-99,0.3523809524,1
6,840,840,54,2,1,1,3,2,2,2,3,2,2,1,1,1,2,1,2,1,2,2,7,2,2,2,1,0,0,2,0,1,0,0,0,2,2,2,2,2,2,1,2,2,3,1,2,3,3,4,3,3,3,1,9,6,6,0,2,3,1,2,3,3,2,2,1,1,3,1,4,5,3,1,-99,5,2,5,4,5,1,2,-99,-99,3,1,2,2,2,2,3,-99,-99,-99,-99,5,5,3,8,4,4,6,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,4,4,2,3,2,-99,-99,-99,-99,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,3,4,2,4,2,8,2,9,2,2,7,2,4,8,8,7,2,1,53,2,3,1,1,2,2,2,8,3,4,2,2,7,8,3,4,3,1,2,3,2,2,3,3,2,2,3,3,3,2,3,1,1,1,1,5,1,2,2,2,3,3,1,3,2,2,3,3,3,9,5,3,7,2,4,4,4,5,10,-99,8,7,7,5,-99,1,2,3,3,2,3,2,-99,2,5,4,3,2,5,4,1,2,3,3,3,5,6,-99,7,7,6,2,2,1,2,3,5,2,1993,18,2,1,2,1,128,7,24,1,-99,-99,840002,-99,840006,128,0.17,1,20110610,2011,8406,8402011,-99,4,2,1,-99,840109,-99,840032,-99,0.6752380952,1
6,840,840,55,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,1,2,1,2,7,2,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,1,3,2,1,3,3,4,4,2,7,5,1,2,6,1,2,4,3,1,4,1,2,1,2,5,6,3,5,4,-99,5,5,3,2,3,1,1,2,2,2,1,3,2,3,3,1,-99,-99,-99,-99,5,8,8,6,9,8,3,2,2,2,3,2,2,2,1,2,2,3,1,2,2,3,3,2,2,2,2,2,2,2,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,2,3,4,4,2,3,3,9,5,3,6,2,2,2,10,8,2,2,0,6,3,1,1,1,2,1,9,3,4,3,1,5,7,6,8,3,2,3,6,2,4,4,4,4,2,4,4,4,4,4,1,1,5,5,5,1,3,2,3,4,4,1,4,4,3,3,6,5,9,7,5,8,1,1,1,1,1,4,-99,5,6,3,1,-99,1,1,1,1,2,2,2,-99,3,4,4,1,4,5,2,2,1,3,1,1,840002,1,2,8,2,8,1,2,1,2,4,6,2,1958,53,2,2,1,1,128,7,26,2,-99,-99,840002,-99,840008,128,0.52,1,20110610,2011,8406,8402011,-99,1,2,-99,-99,840109,-99,840084,-99,0.1836904762,1
6,840,840,56,1,1,2,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,7,2,2,2,0,0,2,0,2,1,0,0,0,1,2,2,1,2,2,1,2,2,2,1,3,1,2,3,2,4,2,2,7,4,6,0,5,1,2,3,4,1,4,1,2,1,1,4,4,3,5,2,-99,2,5,2,4,2,4,2,2,2,1,1,3,3,3,3,2,-99,-99,-99,-99,7,8,1,10,1,2,10,1,2,1,3,3,3,1,1,3,3,4,2,1,2,3,2,2,2,2,2,3,2,2,-99,-99,-99,-99,-99,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,4,3,4,4,1,1,1,10,5,1,10,1,7,10,10,7,2,2,53,2,3,1,1,1,2,2,9,3,4,4,3,3,7,5,5,3,1,3,7,2,2,3,3,3,2,4,3,4,4,4,1,1,5,5,5,1,4,2,2,4,4,1,4,4,4,3,7,4,6,7,7,8,1,1,1,1,1,10,-99,3,6,10,1,-99,1,1,7,1,3,2,1,-99,3,2,3,2,2,3,2,1,1,3,1,1,840001,8,-99,10,6,6,2,1,-99,2,2,7,1,1986,25,2,2,1,1,128,9,25,2,-99,-99,840002,-99,840006,128,2.39,1,20110610,2011,8406,8402011,-99,1,2,0,-99,840112,-99,840034,-99,0.1219047619,1
6,840,840,57,1,1,2,3,1,2,1,1,1,1,2,1,1,1,2,2,2,2,2,8,1,1,1,2,0,0,0,2,1,1,0,2,1,2,1,2,2,2,1,2,2,3,1,3,2,1,3,3,3,3,2,6,7,6,0,7,1,3,3,1,1,3,2,2,2,2,3,4,2,4,4,-99,1,2,4,4,2,1,2,1,2,3,1,3,3,3,3,2,-99,-99,-99,-99,7,7,4,8,4,2,6,1,2,1,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,3,2,2,2,2,-99,-99,-99,-99,-99,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0,2,2,2,3,3,6,3,8,4,3,5,3,7,10,9,6,3,1,64,4,4,1,1,1,2,2,6,3,4,2,2,3,8,4,7,3,2,3,7,2,3,3,3,3,1,4,4,4,4,4,5,1,5,5,5,4,3,3,3,3,3,1,4,4,4,4,9,8,6,6,7,10,2,4,2,2,1,5,-99,5,5,8,5,-99,1,1,1,1,1,1,1,-99,1,4,4,4,4,4,4,2,1,3,1,1,840001,6,-99,9,9,9,2,2,1,1,2,8,2,1988,23,2,2,1,1,128,9,26,2,-99,-99,840002,-99,840013,128,0.84,1,20110610,2011,8406,8402011,-99,2,1,1,-99,840112,-99,840092,-99,0.381547619,1
